Venue,Space,Precinct,Worked with (Y/N),Who has been inside,Month and year of that visit,Notes a floor plan would not tell you
Sydney Showground,The Dome,Sydney Olympic Park,,,,
ICC Sydney,Grand Ballroom,Darling Harbour,Y,,,
Sydney Opera House,Concert Hall,Circular Quay,,,,
Sydney Town Hall,Centennial Hall,Sydney CBD,,,,
Royal Randwick Racecourse,Winx Pavilion,Eastern Suburbs,,,,
Le Montage,Montage Ballroom,Lilyfield,,,,
Sydney Event Centre,Main Room,Pyrmont,Y,,,
The Fullerton Hotel Sydney,The Grand Ballroom,Sydney CBD,Y,,,
Accor Stadium,Millennium Room,Sydney Olympic Park,,,,
Hilton Sydney,Grand Ballroom,Sydney CBD,,,,
Hyatt Regency Sydney,Grand Ballroom,Darling Harbour,Y,,,
Doltone House Jones Bay Wharf,Heritage Wharf,Pyrmont,Y,,,
Curzon Hall,Lady Mary's Pavilion,Marsfield,,,,
Sheraton Grand Sydney Hyde Park,Grand Ballroom,Sydney CBD,,,,
Sydney Cricket Ground,Noble Dining Room,Moore Park,,,,
Shangri-La Sydney,Grand Ballroom,The Rocks,Y,,,
Sofitel Sydney Wentworth,Wentworth Ballroom,Sydney CBD,,,,
Four Seasons Hotel Sydney,Grand Ballroom,The Rocks,,,,
Luna Park Sydney,The Big Top,Milsons Point,,,,
Waterview in Bicentennial Park,Lake Room,Sydney Olympic Park,,,,
Sydney Masonic Centre,Banquet Hall,Sydney CBD,,,,
Novotel Sydney Olympic Park,Freshwater Ballroom,Sydney Olympic Park,,,,
W Sydney,Great Room,Darling Harbour,Y,,,
Rydges World Square,Grand Sydney Ballroom,Sydney CBD,,,,
Doltone House Hyde Park,Ballroom,Sydney CBD,Y,,,
Sofitel Sydney Darling Harbour,Magnifique Ballroom,Darling Harbour,Y,,,
Aerial UTS Function Centre,"Full venue, five rooms combined",Surry Hills & Central,,,,
Dockside,Cockle Bay Room,Darling Harbour,,,,
Swissotel Sydney,Blaxland Ballroom,Sydney CBD,,,,
South Eveleigh,The Eveleigh,Redfern and Eveleigh,,,,
Crown Sydney,Pearl Ballroom,Barangaroo,Y,,,
Novotel Sydney International Airport,Grand Ballroom,Sydney Airport,,,,
Amora Hotel Jamison Sydney,Whiteley Ballroom,Sydney CBD,,,,
InterContinental Sydney,Boronia Ballroom,Circular Quay,,,,
Australian National Maritime Museum,Lighthouse Gallery,Darling Harbour,,,,
Kimpton Margot Sydney,The Hammond Room,Sydney CBD,Y,,,
The Grace Hotel,Wilarra-Jarara,Sydney CBD,,,,
PARKROYAL Darling Harbour,Blackwattle Bay Room,Darling Harbour,,,,
Sydney Harbour Marriott Hotel at Circular Quay,Thomas Keneally I and II,Circular Quay,,,,
Rydges Sydney Central,Oxford I and II,Surry Hills & Central,,,,
Pullman Sydney Hyde Park,Ibis Room,Sydney CBD,,,,
Taronga Zoo Sydney,Dalang Ballroom,Mosman,,,,
L'Aqua,Terrace Room,Darling Harbour,,,,
Pullman at Sydney Olympic Park,Nexus 1 and 2,Sydney Olympic Park,,,,
Novotel Sydney Darling Square,Darling Harbour Room,Darling Harbour,,,,
View Sydney,Bradfield Rooms,North Sydney,,,,
QT Sydney,Market Room,Sydney CBD,,,,
Hordern Pavilion,Main Hall,Moore Park,,,,
Museum of Contemporary Art Australia,Foundation Hall,The Rocks,,,,
Doltone House Darling Island,Darling Island,Pyrmont,Y,,,
The Epping Club,The Grand Ballroom,Epping,,,,
Novotel Sydney Central,The Ballroom,Surry Hills & Central,,,,
Ovolo Woolloomooloo,Piper Room,Woolloomooloo,,,,
